Location Properties,,,,,,,,,,,,,,,,,,,,,
5/27/2025 17:49:22,,82.28093,7.051805,71.84546,0.000217402,0.022836998,6.91482,-6.9245186,251.72589,0.56475836,15.198677,743.2126,11.92421,8.598119,0,77,990.86914,22.318369,41.26860978,-74.08752917,
5/27/2025 17:49:24,,82.28135,7.0505037,71.830376,0.000154519,0.022817886,6.9137816,-6.865936,251.73091,0.5637352,15.197511,743.2128,11.939061,8.608566,0,77,990.86945,22.31883,41.26860777,-74.0875267,
5/27/2025 17:49:26,,82.28177,7.0492024,71.815285,9.16E-05,0.022798775,6.9127426,-6.8073525,251.73593,0.5627121,15.196343,743.213,11.953913,8.619014,0,77,990.8697,22.31929,41.26860517,-74.08752915,
5/27/2025 17:49:28,,82.28219,7.047901,71.80019,2.88E-05,0.022779662,6.911704,-6.7487693,251.74097,0.5616889,15.195177,743.21326,11.968764,8.629461,0,77,990.87,22.31975,41.26860467,-74.08753207,
5/27/2025 17:49:30,,82.305504,6.4868917,65.38266,0.003093927,0.022410868,6.837727,-2.575996,254.97552,0.65501535,14.695386,743.2324,12.480426,8.989715,0,77,990.89557,22.328314,41.26860564,-74.0875313,
5/27/2025 17:49:32,,82.30662,6.4650917,65.132645,0.003193564,0.022386337,6.8345575,-2.397218,255.10327,0.6584309,14.6755705,743.23315,12.506193,9.007853,0,77,990.89655,22.328783,41.26860716,-74.08752932,
5/27/2025 17:49:34,,82.30773,6.443292,64.88264,0.0032932,0.022361808,6.831388,-2.2184398,255.23103,0.6618464,14.655756,743.2339,12.531961,9.0259905,0,77,990.8976,22.32925,41.26860485,-74.08752514,
5/27/2025 17:49:36,,82.30884,6.4214926,64.63262,0.003392836,0.022337278,6.8282185,-2.039662,255.3588,0.665262,14.635941,743.2347,12.557729,9.044128,0,77,990.89856,22.32972,41.26860438,-74.08752474,
5/27/2025 17:49:38,,83.88626,5.467133,54.75559,0.007130026,0.03476863,6.7349854,3.2010498,257.62094,301.09177,14.394959,743.2028,12.777031,9.198438,0,77,990.85614,22.321161,41.26860149,-74.08753058,
5/27/2025 17:49:40,,83.94683,5.421513,54.27343,0.007322183,0.035236824,6.7302065,3.4699185,257.76022,312.5556,14.377573,743.2019,12.793881,9.210299,0,77,990.8549,22.32098,41.26860518,-74.08753252,
