Location Properties,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/23/2025 18:04,17.535189,86.00663,10.465062,73.74402,0.4118851,4.5254617,6.8260174,-20.817488,-35.761322,4.127508,0.039975278,13560.467,0.998713,0.05590431,5.7130375,1.5178673,724.5544,5.571294,6.3637633,6.7142982,0,73,965.9935,25.357824,42.10392789,-78.74663277,
9/23/2025 18:04,17.529299,86.004,10.494787,73.732086,0.40341353,4.431576,6.8251047,-20.765953,-36.050602,4.127246,0.039973896,13562.653,0.9987141,0.055902597,5.730506,1.5237749,724.55347,5.570922,6.364025,6.5750685,0,73,965.9924,25.355764,42.10392789,-78.74663277,
9/23/2025 18:04,17.52341,86.00136,10.524512,73.72016,0.39494196,4.33769,6.824192,-20.714418,-36.33988,4.126984,0.039972518,13564.84,0.99871516,0.055900883,5.747975,1.5296823,724.5526,5.5705495,6.364287,6.435839,0,73,965.9913,25.353704,42.10392789,-78.74663277,
9/23/2025 18:04,17.51752,85.998726,10.554238,73.70823,0.38647038,4.2438045,6.82328,-20.662884,-36.629166,4.126722,0.03997114,13567.025,0.99871624,0.05589917,5.765444,1.5355898,724.55176,5.5701776,6.364549,6.2966094,0,73,965.9901,25.351646,42.10392789,-78.74663277,
9/23/2025 18:04,17.469646,85.8485,10.6824255,73.50099,0.30704314,3.3687198,6.8308687,-21.084215,-40.20424,4.345878,0.039897423,13605.305,0.9987248,0.055801522,5.6746345,1.2575865,724.54553,5.8816257,6.1453595,4.9984713,0,73,965.9818,25.326061,42.10392789,-78.74663277,
9/23/2025 18:04,17.465803,85.838776,10.701907,73.48634,0.30136004,3.3059616,6.830921,-21.086891,-40.434055,4.354703,0.03989264,13608.001,0.99872553,0.055795204,5.674471,1.2484411,724.54504,5.8941665,6.1365337,4.905385,0,73,965.98114,25.324266,42.10392789,-78.74663277,
9/23/2025 18:04,17.461958,85.829056,10.72139,73.471695,0.29567695,3.2432032,6.830974,-21.089567,-40.66387,4.3635273,0.039887857,13610.697,0.99872625,0.055788882,5.674308,1.2392958,724.54456,5.9067073,6.127708,4.812299,0,73,965.9805,25.322472,42.10392789,-78.74663277,
9/23/2025 18:04,17.458115,85.81933,10.740871,73.45705,0.28999382,3.1804447,6.831027,-21.092243,-40.893692,4.3723516,0.039883073,13613.393,0.9987269,0.05578256,5.6741447,1.2301505,724.54407,5.919248,6.1188817,4.7192125,0,73,965.97986,25.320675,42.10392789,-78.74663277,
9/23/2025 18:05,17.108585,111.76292,9.305255,94.88628,0.21929836,2.3889923,6.757728,-16.97032,-51.589176,4.420054,0.05244249,10654.186,0.9987984,0.072645895,3.4527738,0.22503828,724.557,5.987103,6.0711274,3.5464003,0,73,965.9971,25.303999,42.10392789,-78.74663277,
9/23/2025 18:05,17.093466,112.816734,9.249333,95.75519,0.21496159,2.3406937,6.7548614,-16.809032,-52.08919,4.425731,0.05295263,10534.367,0.9988014,0.07333087,3.3609898,0.17944063,724.55743,5.9951735,6.065448,3.474804,0,73,965.9976,25.302858,42.10392789,-78.74663277,
9/23/2025 18:05,17.078346,113.87055,9.193411,96.6241,0.21062483,2.292395,6.751995,-16.647747,-52.589207,4.431408,0.05346277,10414.549,0.9988045,0.074015856,3.269206,0.13384299,724.5578,6.0032434,6.059768,3.4032075,0,73,965.99817,25.301718,42.10392789,-78.74663277,
9/23/2025 18:05,17.063225,114.92436,9.137488,97.493004,0.20628805,2.2440965,6.749129,-16.48646,-53.089222,4.4370847,0.053972907,10294.73,0.99880755,0.07470083,3.177422,0.08824535,724.5582,6.0113134,6.054089,3.3316112,0,73,965.9987,25.300577,42.10392789,-78.74663277,
9/23/2025 18:05,16.858816,108.21547,34.207664,91.38263,0.16479132,1.7857497,6.817054,-20.268007,-86.04531,4.4356894,0.050719593,10969.078,0.99884033,0.07034006,3.680638,0.0769255,724.55206,6.0092306,6.055555,2.6517556,0,73,965.9905,25.275251,42.10392789,-78.74663277,
